known,achieved,vertices
3,3,4
3,3,6
3,3,9
3,3,8
3,3,9
3,3,5
3,3,10
3,3,10
3,3,10
3,3,5
3,3,10
3,3,5
3,3,9
3,3,10
3,3,10
3,3,6
3,3,7
3,3,6
3,3,8
3,3,7
3,3,6
3,3,4
3,3,8
3,3,7
3,3,6
3,3,7
3,3,7
3,3,7
3,3,7
3,3,5
3,3,5
3,3,6
3,3,7
3,3,7
3,3,7
3,3,7
3,3,7
3,3,6
3,3,7
3,3,6
3,3,6
3,3,6
3,3,7
3,3,7
3,3,7
3,3,6
3,3,5
3,3,5
3,3,5
3,3,6
3,3,7
3,3,9
3,3,3
3,3,15
3,3,13
3,3,6
3,3,7
3,3,6
3,3,8
3,3,18
3,3,6
3,3,6
3,3,6
3,3,7
3,3,7
3,3,7
3,3,7
3,3,7
3,3,7
3,3,7
3,3,7
3,3,7
3,3,7
3,3,7
3,3,7
3,3,7
3,3,8
3,3,9
3,3,9
3,3,8
3,3,9
3,3,8
3,3,8
3,3,8
3,3,18
3,3,10
3,3,10
3,3,11
3,3,12
3,3,8
3,3,8
3,3,9
3,3,7
3,3,8
3,3,7
3,3,8
3,3,8
3,3,8
3,3,8
3,3,6
5,5,10
5,5,10
5,5,6
5,5,6
5,5,10
5,5,8
5,5,9
5,5,9
5,5,5
5,5,9
5,5,8
5,5,9
5,5,7
5,5,7
5,5,7
5,5,6
5,5,6
5,5,7
5,5,7
5,5,7
5,5,7
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,10
5,5,10
5,5,11
5,5,11
5,5,11
5,5,11
5,5,11
5,5,11
5,5,12
5,5,12
5,5,12
5,5,12
5,5,12
5,5,8
5,5,8
4,4,4
4,4,6
4,4,8
4,4,7
4,4,8
4,4,9
4,4,9
4,4,7
4,4,5
4,4,5
4,4,7
4,4,10
4,4,10
4,4,7
4,4,6
4,4,10
4,4,8
4,4,7
4,4,6
4,4,6
4,4,6
4,4,6
4,4,6
4,4,7
4,4,5
4,4,7
4,4,7
4,4,7
4,4,7
4,4,7
4,4,7
4,4,11
4,4,16
4,4,7
4,4,8
4,4,7
4,4,9
4,4,6
4,4,7
4,4,7
4,4,7
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,8
4,4,9
4,4,9
4,4,10
4,4,10
4,4,11
4,4,11
4,4,11
4,4,12
4,4,12
4,4,12
4,4,8
4,4,8
4,4,8
4,4,8
4,4,7
4,4,8
4,4,7
4,4,6
4,4,6
4,4,6
4,4,6
4,4,6
6,6,8
6,6,7
6,6,7
6,6,8
6,6,6
6,6,9
6,6,10
6,6,10
6,6,9
6,6,7
6,6,7
6,6,7
6,6,10
6,6,10
6,6,10
6,6,10
6,6,11
6,6,12
6,6,12
6,6,12
