known,achieved,vertices
6,6,14
8,8,15
4,4,8
3,3,5
4,4,5
6,6,11
5,5,8
5,5,5
10,10,49
5,5,5
17,17,123
5,5,6
3,3,3
8,8,13
3,3,17
5,5,6
8,8,14
7,7,9
7,7,9
8,8,11
8,8,11
8,8,11
8,8,11
2,2,2
5,5,5
55,55,546
21,21,468
5,5,10
7,7,9
5,5,10
7,7,10
5,5,5
5,5,5
5,5,5
6,6,9
6,6,10
5,5,5
5,5,5
5,5,6
5,5,8
6,6,11
6,6,7
5,5,5
5,5,7
5,5,9
5,5,9
6,6,8
5,5,7
5,5,5
5,5,5
5,5,5
5,5,10
7,7,9
5,5,10
7,7,10
6,6,13
5,5,5
5,5,8
5,5,6
5,5,6
8,8,30
7,7,8
7,7,11
7,7,9
6,6,6
4,4,9
8,8,13
6,6,7
6,6,13
5,5,8
8,8,30
6,6,13
5,5,8
8,8,30
6,6,13
5,5,8
8,8,30
6,6,13
5,5,8
8,8,30
6,6,8
6,6,8
5,5,8
8,8,25
8,8,25
6,6,9
5,5,8
8,8,26
6,6,9
5,5,8
7,7,10
9,9,27
8,8,26
5,5,5
6,6,7
6,6,7
6,6,7
6,6,7
7,7,19
6,6,8
5,5,6
5,5,5
6,6,9
6,6,9
6,6,7
6,6,7
6,6,10
5,5,7
5,5,5
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,8
6,6,8
6,6,10
7,7,29
3,3,20
6,6,8
5,5,6
5,5,5
6,6,9
6,6,9
6,6,7
6,6,7
6,6,10
5,5,7
5,5,5
6,6,11
3,3,5
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,8
6,6,8
6,6,10
6,6,7
5,5,7
6,6,8
6,6,8
6,6,7
6,6,7
6,6,8
5,5,6
6,6,7
3,3,5
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
4,4,4
4,4,4
4,4,4
3,3,3
4,4,4
3,3,3
4,4,4
3,3,3
4,4,4
3,3,3
4,4,4
3,3,3
4,4,4
3,3,3
4,4,4
3,3,3
4,4,4
3,3,3
4,4,4
3,3,3
4,4,4
3,3,3
6,6,7
6,6,8
6,6,9
6,6,11
3,3,5
6,6,7
6,6,7
6,6,7
6,6,10
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,8
