known,achieved,vertices
9,9,10
9,9,10
9,9,9
9,13,27
9,9,22
9,9,22
9,9,32
7,7,7
7,7,8
7,7,8
7,7,9
7,7,9
7,7,9
7,7,10
7,7,10
7,10,28
7,11,28
7,10,28
7,7,10
7,7,10
7,7,11
7,7,11
7,7,11
7,7,11
7,7,11
7,7,11
7,7,11
7,7,12
7,7,12
7,7,12
7,7,12
7,7,12
7,7,12
7,7,20
7,7,18
7,7,20
7,7,21
7,7,22
7,8,23
7,7,24
7,7,25
7,7,27
7,8,18
7,8,20
7,7,26
7,7,28
7,7,15
7,8,16
7,9,17
7,7,18
7,7,23
7,7,24
7,8,25
7,8,27
7,8,16
7,9,20
7,9,22
7,7,26
7,8,28
7,9,36
7,8,20
7,11,32
7,9,34
7,9,20
7,9,24
7,8,32
7,8,14
7,7,16
5,5,7
5,5,10
5,5,10
5,5,10
5,5,6
5,5,6
5,5,10
5,5,8
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,5
5,5,9
5,5,8
5,5,9
5,5,7
5,5,7
5,5,7
5,5,7
5,5,7
5,5,6
5,5,6
5,5,7
5,5,7
5,5,7
5,5,7
5,8,68
5,6,30
5,6,25
5,6,26
5,5,29
5,5,29
5,7,29
5,6,29
5,5,29
5,6,30
5,7,30
5,5,28
5,7,28
5,7,28
5,6,28
5,5,28
5,6,28
5,6,28
5,5,28
5,5,28
5,6,28
5,5,28
5,7,28
5,6,28
5,5,28
5,5,28
5,5,25
5,6,25
5,6,29
5,6,29
5,6,30
5,7,45
5,6,35
5,5,16
5,5,30
5,6,30
5,6,30
5,6,30
5,6,33
5,6,33
5,7,33
5,6,33
5,7,33
5,6,34
5,5,25
5,6,26
5,5,26
5,5,26
5,6,40
5,5,7
5,5,14
5,6,10
5,7,10
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,6,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,6,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,6,9
5,6,9
5,5,9
5,6,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,6,9
5,6,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,6,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,6,9
5,5,9
5,5,9
5,6,9
5,6,9
5,5,9
5,5,9
5,6,9
5,5,9
5,5,9
5,5,9
5,5,9
5,6,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,6,9
5,6,9
5,6,9
5,5,9
5,6,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,6,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,6,9
5,6,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,9
5,6,9
5,5,9
5,6,9
5,6,9
5,6,9
5,5,9
5,6,9
5,5,9
5,5,9
5,6,9
5,5,9
5,5,9
5,6,9
5,5,9
5,5,9
5,5,9
5,5,9
5,6,9
5,6,9
5,5,9
5,6,9
5,5,9
5,6,9
5,5,9
5,6,9
5,6,9
5,6,9
5,6,9
5,6,9
5,5,9
5,6,9
5,6,9
5,6,9
5,5,9
5,6,9
5,6,9
5,6,9
5,6,9
5,5,9
5,5,9
5,6,9
5,6,9
5,5,9
5,5,9
5,5,9
5,5,9
5,5,24
5,5,24
5,5,24
5,6,24
5,6,24
5,5,24
5,5,24
5,5,24
5,5,24
5,5,24
5,5,24
5,6,24
5,6,24
5,6,24
5,5,24
5,5,24
5,5,24
5,5,24
5,6,24
5,5,24
5,5,24
5,5,24
5,5,24
5,5,24
5,5,24
5,5,24
5,5,24
5,6,24
5,5,24
5,5,24
5,5,24
5,5,24
5,5,24
5,5,24
5,6,24
5,5,24
5,6,24
5,5,24
5,5,24
5,5,24
5,5,24
5,6,24
5,5,24
5,5,24
5,6,24
5,5,24
5,5,24
5,6,24
5,5,24
5,5,24
5,6,24
5,5,24
5,5,24
5,6,24
5,5,24
5,5,24
5,5,24
5,5,24
5,5,24
5,5,24
5,5,24
5,5,24
5,5,24
5,5,20
5,6,10
5,7,10
5,6,10
5,5,10
5,5,10
5,5,10
5,5,10
5,5,10
5,5,10
5,6,10
5,5,10
5,5,10
5,5,10
5,5,10
5,5,11
5,5,11
5,5,11
5,6,11
5,5,11
5,6,11
5,5,11
5,6,11
5,5,11
5,5,11
5,5,11
5,5,11
5,5,11
5,6,11
5,5,11
5,5,11
5,5,11
